count,title,subtitle,link,cover_image_url,ground_truth
1,"Is This Aracely Henriquez, the Woman George Floyd Allegedly Assaulted?","The police encounter that led to Floyd's death in Minneapolis in 2020 was centered around reports about a counterfeit $20 bill, not any of his past actions. ",https://www.snopes.com/fact-check/is-this-really-aracely-henriquez/,https://www.snopes.com/content/themes/snopes/dist/images/lazyload-placeholder.png,miscaptioned
2,Is This Joe Biden Kissing a Young Girl?,Beware of imitations -- many politicians look alike.,https://www.snopes.com/fact-check/biden-kissing-girl/,https://www.snopes.com/content/themes/snopes/dist/images/lazyload-placeholder.png,miscaptioned
3,Was This Traffic Light Altered to Display a Fist Raised in Protest?,"The raised fist has been used as a symbol of protest, resistance, and solidarity for decades. ",https://www.snopes.com/fact-check/raised-fist-traffic-light-real/,https://www.snopes.com/content/themes/snopes/dist/images/lazyload-placeholder.png,mostly-true
4,Was Razor Wire Placed Around the White House?,More than a mile of fencing was put up around the White House amid protests against police brutality in the spring of 2020. ,https://www.snopes.com/fact-check/white-house-razor-wire-fence/,https://www.snopes.com/content/themes/snopes/dist/images/lazyload-placeholder.png,false
5,Is This a Photo of the Lincoln Memorial After Being Defaced by Protesters?,The Lincoln Memorial is one of a few national landmarks that some say were graffitied recently.,https://www.snopes.com/fact-check/lincoln-memorial-defaced-protesters/,https://www.snopes.com/content/themes/snopes/dist/images/lazyload-placeholder.png,false
6,Did Fox News Correlate Stock Market Performance with the Deaths of Black Men?,The graphic was used to illustrate market reactions to historic periods of civil unrest.,https://www.snopes.com/fact-check/fox-news-stock-death/,https://www.snopes.com/content/themes/snopes/dist/images/lazyload-placeholder.png,true
7,Did ‘Sailor Moon’ Anime Series Call Cops ‘Dirty Pigs’?,Editing or adding captions to imagery is a part of a meme culture ... and also one way misinformation spreads. ,https://www.snopes.com/fact-check/sailor-moon-cops-dirty-pigs/,https://www.snopes.com/content/themes/snopes/dist/images/lazyload-placeholder.png,false
8,Did Reps. Pelosi and Waters Pose with ‘Trump 2020’ Sign?,This has all the signs of a manipulated image.,https://www.snopes.com/fact-check/pelosi-waters-trump-sign/,https://www.snopes.com/content/themes/snopes/dist/images/lazyload-placeholder.png,false
9,Is This US Sen. Tom Cotton Sitting on a Pile of Gold?,"The photograph appears to be real, but the caption tells a different story.",https://www.snopes.com/fact-check/senator-tom-cotton-gold-pile/,https://www.snopes.com/content/themes/snopes/dist/images/lazyload-placeholder.png,miscaptioned
10,Does This Picture Show Hitler Holding a Bible?,U.S. President Donald Trump's use of force to clear an area in front of a church occupied by protesters drew comparisons to world dictators. ,https://www.snopes.com/fact-check/hitler-holding-bible/,https://www.snopes.com/content/themes/snopes/dist/images/lazyload-placeholder.png,false
11,Did Members of the NYPD Wear ‘I Can Breathe’ Shirts in 2020 Protest?,"A photograph showing men in ""I Can Breathe"" shirts, holding signs supporting the New York Police Department, went viral after the death of George Floyd.",https://www.snopes.com/fact-check/i-can-breathe-shirts/,https://www.snopes.com/content/themes/snopes/dist/images/lazyload-placeholder.png,miscaptioned
12,Did Zoo Animals Escape During George Floyd Protests?,"Tigers, giraffes, and hippos, oh my!",https://www.snopes.com/fact-check/zoo-animals-escape-floyd-protests/,https://www.snopes.com/content/themes/snopes/dist/images/lazyload-placeholder.png,miscaptioned
13,Background Check: Investigating George Floyd’s Criminal Record,The question of past arrests often surfaces among people who want to rationalize police officers' actions when Black men are killed in custody.,https://www.snopes.com/news/2020/06/12/george-floyd-criminal-record/,https://www.snopes.com/content/themes/snopes/dist/images/lazyload-placeholder.png,
14,"Is This Aracely Henriquez, the Woman George Floyd Allegedly Assaulted?","The police encounter that led to Floyd's death in Minneapolis in 2020 was centered around reports about a counterfeit $20 bill, not any of his past actions. ",https://www.snopes.com/fact-check/is-this-really-aracely-henriquez/,https://www.snopes.com/content/themes/snopes/dist/images/lazyload-placeholder.png,miscaptioned
